,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Portland,45.5234,-122.6762,57.61,82,96,4.0,US,1651362828
1,Ushuaia,-54.8,-68.3,38.86,70,20,4.61,AR,1651363063
2,Araruama,-22.8728,-42.3431,71.8,92,99,5.73,BR,1651363064
3,Airai,-8.9266,125.4092,69.26,62,69,4.23,TL,1651363065
4,Dingli,35.8614,14.3822,59.81,67,0,9.22,MT,1651363065
5,Cape Town,-33.9258,18.4232,60.91,84,0,8.99,ZA,1651362927
6,Narsaq,60.9167,-46.05,40.64,72,37,0.36,GL,1651363066
7,Lata,40.1629,-8.3327,51.55,88,0,1.59,PT,1651363067
8,Punta Arenas,-53.15,-70.9167,41.11,80,89,7.31,CL,1651363068
9,Neuquén,-38.9516,-68.0591,53.49,43,0,3.44,AR,1651362908
10,Pevek,69.7008,170.3133,10.49,90,95,6.35,RU,1651363069
11,Ponta Delgada,37.7333,-25.6667,63.5,72,20,2.3,PT,1651362842
12,Pathein,16.7833,94.7333,80.1,82,20,4.63,MM,1651363070
13,Andenes,69.3143,16.1194,30.18,86,100,6.91,NO,1651363071
14,Qaanaaq,77.484,-69.3632,8.92,79,59,5.32,GL,1651363071
15,Port Alfred,-33.5906,26.891,59.16,83,6,12.91,ZA,1651363072
16,Mogadishu,2.0371,45.3438,82.13,77,100,9.55,SO,1651363073
17,Gold Coast,-28.0,153.4333,73.0,87,75,11.5,AU,1651362861
18,Janakpur Dham,26.7183,85.9065,75.27,67,58,9.82,NP,1651363073
19,Nekā,36.6508,53.299,60.85,97,100,3.78,IR,1651363074
20,Marsh Harbour,26.5412,-77.0636,72.7,81,100,22.24,BS,1651363075
21,Albany,42.6001,-73.9662,45.84,66,67,5.12,US,1651362863
22,Alofi,-19.0595,-169.9187,76.89,94,95,4.61,NU,1651363077
23,Barrow,71.2906,-156.7887,29.14,89,74,4.03,US,1651363077
24,Mataura,-46.1927,168.8643,56.48,72,100,2.44,NZ,1651363078
25,Porto Seguro,-16.4497,-39.0647,75.72,88,40,4.61,BR,1651363078
26,Sisimiut,66.9395,-53.6735,18.86,70,10,6.35,GL,1651363079
27,Ribeira Grande,38.5167,-28.7,62.06,85,41,5.41,PT,1651363080
28,Honningsvåg,70.9821,25.9704,28.15,86,20,8.05,NO,1651363080
29,Jacareacanga,-6.2222,-57.7528,74.7,92,99,2.46,BR,1651363081
30,São João da Barra,-21.6403,-41.0511,74.14,84,34,3.13,BR,1651363082
31,Lakatoro,-16.0999,167.4164,78.22,82,100,6.44,VU,1651363082
32,Mar del Plata,-38.0023,-57.5575,50.88,71,0,5.01,AR,1651363083
33,Hilo,19.7297,-155.09,80.28,88,100,4.0,US,1651363084
34,Chui,-33.6971,-53.4616,54.75,74,100,5.12,UY,1651363084
35,Bethel,41.3712,-73.414,58.77,59,28,1.86,US,1651363085
36,Avarua,-21.2078,-159.775,84.25,74,20,10.36,CK,1651363085
37,Hermanus,-34.4187,19.2345,57.69,85,37,5.32,ZA,1651363086
38,Tasiilaq,65.6145,-37.6368,32.16,64,33,3.38,GL,1651363087
39,Yar-Sale,66.8333,70.8333,15.57,92,46,9.51,RU,1651363087
40,Hohhot,40.8106,111.6522,41.29,36,0,4.47,CN,1651362998
41,Sātkhira,22.7167,89.1,79.75,85,6,9.33,BD,1651363088
42,New Norfolk,-42.7826,147.0587,61.66,64,94,3.0,AU,1651363089
43,Castro,-24.7911,-50.0119,59.36,98,53,5.14,BR,1651363090
44,Busselton,-33.65,115.3333,57.36,81,0,4.79,AU,1651363090
45,Vila Franca do Campo,37.7167,-25.4333,63.19,87,20,2.39,PT,1651363091
46,Rocha,-34.4833,-54.3333,53.98,74,98,4.9,UY,1651363092
47,Mehamn,71.0357,27.8492,29.23,65,99,17.27,NO,1651363092
48,Rikitea,-23.1203,-134.9692,76.57,73,73,10.49,PF,1651363093
49,Berbera,10.4396,45.0143,83.73,81,81,4.36,SO,1651363094
50,Saldanha,-33.0117,17.9442,53.65,89,9,11.16,ZA,1651363094
51,Kapaa,22.0752,-159.319,82.38,79,100,4.0,US,1651362971
52,Kaka,37.3482,59.6143,65.28,62,86,17.6,TM,1651363095
53,Arraial do Cabo,-22.9661,-42.0278,73.72,87,92,10.85,BR,1651363096
54,Souillac,-20.5167,57.5167,77.38,83,40,6.91,MU,1651363096
55,Arlit,18.7369,7.3853,89.58,8,100,7.36,NE,1651363097
56,Hobart,-42.8794,147.3294,61.27,58,75,16.11,AU,1651362803
57,Dikson,73.5069,80.5464,16.36,94,100,15.95,RU,1651362951
58,Alice Springs,-23.7,133.8833,62.15,63,100,9.22,AU,1651363098
59,Yellowknife,62.456,-114.3525,34.32,60,0,8.05,CA,1651362863
60,The Valley,18.217,-63.0578,78.66,94,20,5.75,AI,1651363099
61,Santa Fe,-31.6333,-60.7,58.01,79,78,1.01,AR,1651363100
62,Butaritari,3.0707,172.7902,80.96,81,70,13.29,KI,1651363101
63,Usinsk,65.9939,57.5281,18.75,95,97,7.7,RU,1651363101
64,Tshane,-24.0196,21.8684,60.03,33,0,7.99,BW,1651363102
65,Vaini,-21.2,-175.2,80.76,89,75,10.36,TO,1651363102
66,Hithadhoo,-0.6,73.0833,85.06,68,100,14.2,MV,1651363103
67,Fermoy,52.1358,-8.2758,50.72,91,100,3.51,IE,1651363104
68,Sibolga,1.7427,98.7792,77.38,86,98,3.36,ID,1651363105
69,Ancud,-41.8697,-73.8203,50.5,89,100,6.04,CL,1651363105
70,Yangi Marg`ilon,40.4272,71.7189,65.12,63,17,6.91,UZ,1651363106
71,Saint-Philippe,-21.3585,55.7679,74.79,78,15,8.14,RE,1651363106
72,Tiksi,71.6872,128.8694,33.49,95,100,10.31,RU,1651363107
73,Beyneu,45.3167,55.2,63.95,71,50,8.52,KZ,1651363108
74,Namatanai,-3.6667,152.4333,85.1,65,90,1.9,PG,1651363108
75,Lüderitz,-26.6481,15.1594,61.79,44,0,11.07,NA,1651363109
76,Slave Lake,55.2834,-114.769,46.38,71,100,12.66,CA,1651362946
77,Bambous Virieux,-20.3428,57.7575,77.25,83,40,6.91,MU,1651363110
78,Lebu,-37.6167,-73.65,50.23,79,2,13.56,CL,1651362847
79,Cabo San Lucas,22.8909,-109.9124,85.6,56,66,12.57,MX,1651362998
80,Leningradskiy,69.3833,178.4167,15.82,82,46,3.87,RU,1651363111
81,Thompson,55.7435,-97.8558,39.36,60,100,11.5,CA,1651362860
82,Ocampo,21.65,-101.5,78.26,11,47,9.31,MX,1651363112
83,Nukus,42.4531,59.6103,62.58,82,20,2.3,UZ,1651363113
84,Sinnamary,5.3833,-52.95,78.28,84,59,10.38,GF,1651363114
85,George Town,5.4112,100.3354,82.33,93,20,2.3,MY,1651362968
86,Bluff,-46.6,168.3333,56.8,93,100,10.49,NZ,1651362954
87,Faanui,-16.4833,-151.75,81.1,72,15,13.6,PF,1651363115
88,Salym,60.0625,71.4789,30.16,76,7,4.14,RU,1651363116
89,Banjar,-8.19,114.9675,82.54,77,100,3.31,ID,1651363116
90,Jamestown,42.097,-79.2353,60.44,25,0,8.05,US,1651362929
91,Tataouine,32.9297,10.4518,58.23,84,0,22.17,TN,1651363117
92,Port Keats,-14.25,129.55,85.5,52,17,10.13,AU,1651363118
93,Port Lincoln,-34.7333,135.8667,63.12,71,10,9.93,AU,1651363119
94,Jieshi,22.8134,115.8257,68.95,91,100,16.06,CN,1651363119
95,Kruisfontein,-34.0033,24.7314,53.89,77,16,6.91,ZA,1651363120
96,Khatanga,71.9667,102.5,9.81,96,95,10.04,RU,1651363121
